Dataset,BFS latency(ms),BIN Blockwise weighted DFS latency(ms)
Cifar,1458.434983,734.81966667
Landsat,21631,4553
Higgs,6211.60838,1495.4706774193548
Year,12597.51274509804,2077.3528431372547
WEC,1038.4208387096776,493.7948387096773
